"Language","original","english","german","russian","czech","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"GasMask_GP21_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_GP21_Filter","Gas mask filter (GP21)","Gas mask filter (GP21)","Gasmaskenfilter (GP21)","Фильтр от противогаза (GP21)","Gas mask filter (GP21)","Gas mask filter (GP21)","Gas mask filter (GP21)","Gas mask filter (GP21)","Gas mask filter (GP21)","Gas mask filter (GP21)","Gas mask filter (GP21)","Gas mask filter (GP21)","Gas mask filter (GP21)","Gas mask filter (GP21)",
"GasMask_GP21_Filter_DSC","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Erforderlich für den Einsatz in einer Gasmaske zum Schutz der Atemwege vor radioaktiven Substanzen und anderen luftgetragenen Verunreinigungen. Laufzeit: 40 Min","Требуется для использования в противогазе для защиты дыхательной системы от твердых радиоактивных веществ и других загрязняющих веществ в воздухе. Продолжительность: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min",
"GasMask_HOMA","Gas mask (HOMA)","Gas mask (HOMA)","Gasmaske (HOMA)","Противогаз (HOMA)","Gas mask (HOMA)","Gas mask (HOMA)","Gas mask (HOMA)","Gas mask (HOMA)","Gas mask (HOMA)","Gas mask (HOMA)","Gas mask (HOMA)","Gas mask (HOMA)","Gas mask (HOMA)","Gas mask (HOMA)",
"GasMask_HOMA_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_HOMA_Filter","Gas mask filter (HOMA)","Gas mask filter (HOMA)","Gasmaskenfilter (HOMA)","Фильтр от противогаза (HOMA)","Gas mask filter (HOMA)","Gas mask filter (HOMA)","Gas mask filter (HOMA)","Gas mask filter (HOMA)","Gas mask filter (HOMA)","Gas mask filter (HOMA)","Gas mask filter (HOMA)","Gas mask filter (HOMA)","Gas mask filter (HOMA)","Gas mask filter (HOMA)",
"GasMask_HOMA_Filter_DSC","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Erforderlich für den Einsatz in einer Gasmaske zum Schutz der Atemwege vor radioaktiven Substanzen und anderen luftgetragenen Verunreinigungen. Laufzeit: 30 Min","Требуется для использования в противогазе для защиты дыхательной системы от твердых радиоактивных веществ и других загрязняющих веществ в воздухе. Продолжительность: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min",
"GasMask_M04","Gas mask (M04)","Gas mask (M04)","Gasmaske (M04)","Противогаз (M04)","Gas mask (M04)","Gas mask (M04)","Gas mask (M04)","Gas mask (M04)","Gas mask (M04)","Gas mask (M04)","Gas mask (M04)","Gas mask (M04)","Gas mask (M04)","Gas mask (M04)",
"GasMask_M04_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_M04_Filter","Gas mask filter (M04)","Gas mask filter (M04)","Gasmaskenfilter (M04)","Фильтр от противогаза (M04)","Gas mask filter (M04)","Gas mask filter (M04)","Gas mask filter (M04)","Gas mask filter (M04)","Gas mask filter (M04)","Gas mask filter (M04)","Gas mask filter (M04)","Gas mask filter (M04)","Gas mask filter (M04)","Gas mask filter (M04)",
"GasMask_M04_Filter_DSC","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Erforderlich für den Einsatz in einer Gasmaske zum Schutz der Atemwege vor radioaktiven Substanzen und anderen luftgetragenen Verunreinigungen. Laufzeit: 30 Min","Требуется для использования в противогазе для защиты дыхательной системы от твердых радиоактивных веществ и других загрязняющих веществ в воздухе. Продолжительность: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 30 Min",
"GasMask_M40","Gas mask (M40)","Gas mask (M40)","Gasmaske (M40)","Противогаз (M40)","Gas mask (M40)","Gas mask (M40)","Gas mask (M40)","Gas mask (M40)","Gas mask (M40)","Gas mask (M40)","Gas mask (M40)","Gas mask (M40)","Gas mask (M40)","Gas mask (M40)",
"GasMask_M40_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_M40M2","Gas mask (M40/M40M2)","Gas mask (M40/M40M2)","Gasmaske (M40/M40M2)","Противогаз (M40/M40M2)","Gas mask (M40/M40M2)","Gas mask (M40/M40M2)","Gas mask (M40/M40M2)","Gas mask (M40/M40M2)","Gas mask (M40/M40M2)","Gas mask (M40/M40M2)","Gas mask (M40/M40M2)","Gas mask (M40/M40M2)","Gas mask (M40/M40M2)","Gas mask (M40/M40M2)",
"GasMask_M40M2_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_M40_Filter","Gas mask filter (M40/M40M2)","Gas mask filter (M40/M40M2)","Gasmaskenfilter (M40/M40M2)","Фильтр от противогаза (M40/M40M2)","Gas mask filter (M40/M40M2)","Gas mask filter (M40/M40M2)","Gas mask filter (M40/M40M2)","Gas mask filter (M40/M40M2)","Gas mask filter (M40/M40M2)","Gas mask filter (M40/M40M2)","Gas mask filter (M40/M40M2)","Gas mask filter (M40/M40M2)","Gas mask filter (M40/M40M2)","Gas mask filter (M40/M40M2)",
"GasMask_M40_Filter_DSC","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Erforderlich für den Einsatz in einer Gasmaske zum Schutz der Atemwege vor radioaktiven Substanzen und anderen luftgetragenen Verunreinigungen. Laufzeit: 45 Min","Требуется для использования в противогазе для защиты дыхательной системы от твердых радиоактивных веществ и других загрязняющих веществ в воздухе. Продолжительность: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 45 Min",
"GasMask_M50","Gas mask (M50)","Gas mask (M50)","Gasmaske (M50)","Противогаз (M50)","Gas mask (M50)","Gas mask (M50)","Gas mask (M50)","Gas mask (M50)","Gas mask (M50)","Gas mask (M50)","Gas mask (M50)","Gas mask (M50)","Gas mask (M50)","Gas mask (M50)",
"GasMask_M50_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_M50CBRN","Gas mask (M50CBRN)","Gas mask (M50CBRN)","Gasmaske (M50CBRN)","Противогаз (M50CBRN)","Gas mask (M50CBRN)","Gas mask (M50CBRN)","Gas mask (M50CBRN)","Gas mask (M50CBRN)","Gas mask (M50CBRN)","Gas mask (M50CBRN)","Gas mask (M50CBRN)","Gas mask (M50CBRN)","Gas mask (M50CBRN)","Gas mask (M50CBRN)",
"GasMask_M50CBRN_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_M50CBRN_Filter","Gas mask filter (M50CBRN)","Gas mask filter (M50CBRN)","Gasmaskenfilter (M50CBRN)","Фильтр от противогаза (M50CBRN)","Gas mask filter (M50CBRN)","Gas mask filter (M50CBRN)","Gas mask filter (M50CBRN)","Gas mask filter (M50CBRN)","Gas mask filter (M50CBRN)","Gas mask filter (M50CBRN)","Gas mask filter (M50CBRN)","Gas mask filter (M50CBRN)","Gas mask filter (M50CBRN)","Gas mask filter (M50CBRN)",
"GasMask_M50CBRN_Filter_DSC","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Erforderlich für den Einsatz in einer Gasmaske zum Schutz der Atemwege vor radioaktiven Substanzen und anderen luftgetragenen Verunreinigungen. Laufzeit: 40 Min","Требуется для использования в противогазе для защиты дыхательной системы от твердых радиоактивных веществ и других загрязняющих веществ в воздухе. Продолжительность: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min",
"GasMask_M50M2","Gas mask (M50M2)","Gas mask (M50M2)","Gasmaske (M50M2)","Противогаз (M50M2)","Gas mask (M50M2)","Gas mask (M50M2)","Gas mask (M50M2)","Gas mask (M50M2)","Gas mask (M50M2)","Gas mask (M50M2)","Gas mask (M50M2)","Gas mask (M50M2)","Gas mask (M50M2)","Gas mask (M50M2)",
"GasMask_M50M2_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_M50M2_Filter","Gas mask filter (M50M2)","Gas mask filter (M50M2)","Gasmaskenfilter (M50M2)","Фильтр от противогаза (M50M2)","Gas mask filter (M50M2)","Gas mask filter (M50M2)","Gas mask filter (M50M2)","Gas mask filter (M50M2)","Gas mask filter (M50M2)","Gas mask filter (M50M2)","Gas mask filter (M50M2)","Gas mask filter (M50M2)","Gas mask filter (M50M2)","Gas mask filter (M50M2)",
"GasMask_M50M2_Filter_DSC","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Erforderlich für den Einsatz in einer Gasmaske zum Schutz der Atemwege vor radioaktiven Substanzen und anderen luftgetragenen Verunreinigungen. Laufzeit: 40 Min","Требуется для использования в противогазе для защиты дыхательной системы от твердых радиоактивных веществ и других загрязняющих веществ в воздухе. Продолжительность: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min",
"GasMask_M50_Filter","Gas mask filter (M50)","Gas mask filter (M50)","Gasmaskenfilter (M50)","Фильтр от противогаза (M50)","Gas mask filter (M50)","Gas mask filter (M50)","Gas mask filter (M50)","Gas mask filter (M50)","Gas mask filter (M50)","Gas mask filter (M50)","Gas mask filter (M50)","Gas mask filter (M50)","Gas mask filter (M50)","Gas mask filter (M50)",
"GasMask_M50_Filter_DSC","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Erforderlich für den Einsatz in einer Gasmaske zum Schutz der Atemwege vor radioaktiven Substanzen und anderen luftgetragenen Verunreinigungen. Laufzeit: 40 Min","Требуется для использования в противогазе для защиты дыхательной системы от твердых радиоактивных веществ и других загрязняющих веществ в воздухе. Продолжительность: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min","Required for use in a gas mask to protect the respiratory system from solid radioactive substances and other airborne contaminants. Duration: 40 Min",
"GasMask_MK10","Gas mask (MK10)","Gas mask (MK10)","Gasmaske (MK10)","Противогаз (MK10)","Gas mask (MK10)","Gas mask (MK10)","Gas mask (MK10)","Gas mask (MK10)","Gas mask (MK10)","Gas mask (MK10)","Gas mask (MK10)","Gas mask (MK10)","Gas mask (MK10)","Gas mask (MK10)",
"GasMask_MK10_DSC","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Persönliche Schutzausrüstung zum Schutz der Atmungsorgane, des Gesichts und der Augen vor radioaktivem Staub und giftigen Substanzen.","Индивидуальное средство защиты органов дыхания, кожи лица и органов зрения от радиоактивной пыли и токсичных веществ.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.","Personal protective equipment to protect the respiratory organs, face and eyes against radioactive dust and toxic substances.",
"GasMask_MK10_Filter","Gas mask filter (MK10)","Gas mask filter (MK10)","Gasmaskenfilter (MK10)","Фильтр от противогаза (MK10)","Gas mask filter (MK10)","Gas mask filter (MK10)","Gas mask filter (MK10)","Gas mask filter (MK10)","Gas mask filter (MK10)","Gas mask filter (MK10)","Gas mask filter (MK10)","Gas mask filter (MK10)","Gas mask filter (MK10)","Gas mask filter (MK10)",
